half_year,bin,n,x_lo,x_hi,x_mean,y_mean,y_sd,se,ci_lo,ci_hi
2024 H1,28,1957,0.32719968694082535,0.3855821572493599,0.3560364256855654,0.0003227463805781223,0.012140472425165088,0.00027443542707013437,,
2024 H1,29,1958,0.3855821572493599,0.44556105617845615,0.4150805375641627,0.00027121374502531636,0.01354043995589326,0.00030600352682041515,,
2024 H1,30,1958,0.44556105617845615,0.5070968351599842,0.47612934762712156,-0.00014757752068452674,0.012470537193183655,0.00028182454742162893,,
2024 H1,31,1958,0.5070968351599842,0.5726486649848034,0.539076744724408,0.00029018837150445614,0.013546481890849739,0.00030614006990258415,,
2024 H1,32,1958,0.5726486649848034,0.6412527562639345,0.6062604267377345,0.00015060968422101191,0.012912790452174161,0.00029181913086498423,,
2024 H1,33,1958,0.6412527562639345,0.7187745448585205,0.6803148325063533,0.0003747126296891493,0.012677702745718755,0.0002865063295437711,,
2024 H1,34,1958,0.7187745448585205,0.8064680885354449,0.7614849751838869,-0.0001607999786809051,0.01233313638403422,0.00027871939483244693,,
2024 H1,35,1958,0.8064680885354449,0.9055459886354452,0.8553647794168582,-0.0001788208702198663,0.012077885332469484,0.000272950917422713,,
2024 H1,36,1958,0.9055459886354452,1.0132524489953114,0.9588790190195619,0.000692793853112317,0.013745553653959257,0.00031063893860997486,,
2024 H1,37,1958,1.0132524489953114,1.1437818050248962,1.0763306311996343,-0.00013007836494415484,0.013445420852988752,0.000303856168189617,,
2024 H1,38,1958,1.1437818050248962,1.2995711304545885,1.2196332029789247,-0.0003071205252243506,0.013481572641235104,0.00030467317079368924,,
